P	locus_id	chr	cytoband	cytoband_name	mid	genome_pos	locus_grade	support_n	n_pairs_at_locus	nearest_gene	positive_genes	gene_a_genes	n_gene_a	best_mtag_score	pair_id
P24	unified_locus_005846	12	chr12:55.5-58.6Mb	12q13.3	57026782	1561578675	B	3	3	ITGA7	ITGA7, METTL7B	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID
P24	unified_locus_006001	22	chr22:34.6-36.1Mb	22q12.3	35349002	2285400903	A	5	1	Not assigned	chr22:34.6-36.1Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID
P24	unified_locus_006055	5	chr5:35.1-36.5Mb	5p13.2	35810954.5	770917684	B	3	13	IL7R	UGT3A1, IL7R	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID
P24	unified_locus_006069	5	chr5:129.8-133.5Mb	5q31.1	131621666.5	866728396	A	4	2	UQCRQ	UQCRQ	CCNI2, GDF9, SHROOM1, SOWAHA, AFF4, HSPA4	6	Not available	NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID
P27	unified_locus_006371	3	chr3:187.3-189.3Mb	3q28	188254114.5	603407149	B	2	5	LPP	LPP	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__H7_ALLERGICCONJUNCTIVITIS
P27	unified_locus_006411	6	chr6:89.6-90.8Mb	6q15	90204109	967690065	A	6	6	ANKRD6	ANKRD6, RRAGD	ANKRD6	1	19.0750795555411	NASAL_POLYPS_GCST90018883__H7_ALLERGICCONJUNCTIVITIS
P19	unified_locus_006521	22	chr22:19.3-20.3Mb	22q11.21	19779742.5	2269831643.5	B	3	3	Not assigned	chr22:19.3-20.3Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__H8_EUSTSALP
P26	unified_locus_006580	11	chr11:61.3-62.3Mb	11q12.3	61811021.5	1447475175	B	2	6	Not assigned	chr11:61.3-62.3Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID
P26	unified_locus_006614	16	chr16:10.4-11.8Mb	16p13.13	11087499	1931495488	A	6	7	DEXI	CLEC16A, CIITA	CLEC16A, CIITA, DEXI	3	13.12314377335	NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID
P26	unified_locus_006631	17	chr17:69.8-71.1Mb	17q24.3	70454029.5	2060531237.5	B	2	1	ZMYND15	ZMYND15	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID
P26	unified_locus_006665	22	chr22:19.3-20.3Mb	22q11.21	19784286	2269836187	A	5	3	GNB1L	GNB1L, TBX1	TBX1, GNB1L	2	Not available	NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID
P29	unified_locus_006783	22	chr22:19.3-20.3Mb	22q11.21	19779742.5	2269831643.5	B	2	3	Not assigned	chr22:19.3-20.3Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE
P29	unified_locus_006814	9	chr9:5.4-7.1Mb	9p24.1	6272169	1214203156	B	3	6	IL33	TPD52L3, IL33	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE
P15	unified_locus_006826	1	chr1:24.1-25.4Mb	1p36.11	24751177.5	24751177.5	B	3	1	NCMAP	NCMAP	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006851	1	chr1:166.1-168.2Mb	1q24.1	167117156.5	167117156.5	A	5	9	CD247	CD247	CD247	1	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006858	1	chr1:198-199.8Mb	1q32.1	198867193.5	198867193.5	B	3	2	CD247	CD247	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub001	10	chr10:7.1-9.1Mb	10p14	8064538.5	1331033495	B	3	1	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub002	10	chr10:7.5-9.5Mb	10p14	8473361.5	1331442318	B	3	1	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub003	10	chr10:7.8-9.8Mb	10p14	8799705.5	1331768662	A	6	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub004	10	chr10:7.9-9.9Mb	10p14	8939255.5	1331908212	A	6	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub005	10	chr10:8-10Mb	10p14	8973266.5	1331942223	A	6	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub006	10	chr10:8-10Mb	10p14	8975980.5	1331944937	B	4	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub007	10	chr10:8-10Mb	10p14	8993290.5	1331962247	B	4	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub008	10	chr10:8-10Mb	10p14	9011168.5	1331980125	B	4	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub009	10	chr10:8.1-10.1Mb	10p14	9130269.5	1332099226	B	4	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006875_sub010	10	chr10:8.3-10.3Mb	10p14	9317709.5	1332286666	A	6	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	33.0723401602441	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006885	10	chr10:62.1-63.5Mb	10q21.2	62813499	1385782455.5	B	3	2	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006914	11	chr11:61.1-62.8Mb	11q12.3	61980218	1447644371.5	B	3	6	TSGA10IP	TSGA10IP	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006948	12	chr12:55.5-58.5Mb	12q13.3	56999241.5	1561551134.5	B	3	3	ITGA7	ITGA7, METTL7B	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_006988	13	chr13:98.6-100.4Mb	13q32.3	99503255.5	1727268789.5	B	3	2	SLC15A1	STK24, SLC15A1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007037	16	chr16:10.4-12.5Mb	16p13.13	11430905.5	1931838894.5	B	3	7	CLEC16A	CLEC16A, DEXI	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007039	16	chr16:26.2-28.3Mb	16p12.1	27250144	1947658133	B	3	3	NSMCE1	IL4R, NSMCE1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007096	19	chr19:32.6-36.4Mb	19q13.11	34495517	2096716371.5	B	3	2	CEP89	TDRD12, CEP89	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007135	2	chr2:110.5-113.1Mb	2q13	111764680.5	284929351	A	5	1	LIMS3L	LIMS3L	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007197	22	chr22:36.6-37.7Mb	22q12.3	37148696.5	2287200597.5	A	5	2	Not assigned	chr22:36.6-37.7Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007223	3	chr3:70.9-72.1Mb	3p13	71528194	486681228.5	B	3	2	FOXP1	FOXP1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007243	3	chr3:187.2-189.3Mb	3q28	188220829	603373863.5	B	3	5	LPP	LPP	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007281	5	chr5:34-37.2Mb	5p13.2	35570615	770677344.5	B	3	13	IL7R	UGT3A1, IL7R	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007294	5	chr5:109-112.9Mb	5q22.1	110938351.5	846045081	A	6	5	NREP	NREP, WDR36	WDR36, TSLP, CAMK4, NREP	4	53.1578755907066	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007299	5	chr5:128.3-134.6Mb	5q31.1	131448276	866555005.5	B	3	5	CSF2	FSTL4, ZCCHC10	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007333	6	chr6:88.9-91.1Mb	6q15	90005650	967491606	B	4	6	RRAGD	ANKRD6, RRAGD	No Gene-A gene assigned	0	24.3700300547545	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P15	unified_locus_007413	9	chr9:3.6-7.7Mb	9p24.1	5624693.5	1213555680.5	A	6	6	IL33	TPD52L3, IL33	IL33, GLDC, UHRF2	3	56.2505543158307	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE
P28	unified_locus_007462	1	chr1:149.7-152.6Mb	1q21.3	151130639.5	151130639.5	A	5	2	PRUNE	ENSA, PRUNE	ARNT, CTSK, CTSS, ANXA9, FAM63A, CERS2, ENSA, SETDB1, HORMAD1, GOLPH3L	10	Not available	NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN
P28	unified_locus_007701	2	chr2:71.2-72.6Mb	2p13.2	71933090.5	245097761	A	4	2	MAP4K4	MAP4K4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN
P25	unified_locus_008286	5	chr5:129.2-133.5Mb	5q31.1	131341689	866448418.5	A	5	5	KIF3A	HSPA4, AFF4	SLC22A5, IL13, P4HA2, CCNI2, ACSL6, PDLIM4, GDF9, CDC42SE2, SHROOM1, RAPGEF6, SOWAHA, KIF3A, AFF4, HSPA4	14	Not available	NASAL_POLYPS_GCST90018883__J10_COPD
P31	unified_locus_008675	1	chr1:205.1-207.5Mb	1q32.1	206301509	206301509	B	2	1	Not assigned	chr1:205.1-207.5Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT
P31	unified_locus_008706	11	chr11:61.3-62.4Mb	11q12.3	61834205	1447498358.5	A	4	6	Not assigned	chr11:61.3-62.4Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT
P31	unified_locus_008814	2	chr2:23.2-25.8Mb	2p23.3	24502493	197667163.5	A	4	1	ITSN2	NCOA1, ITSN2	NCOA1, ITSN2	2	Not available	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT
P31	unified_locus_008934	5	chr5:129.3-133.5Mb	5q31.1	131402470	866509199.5	B	3	5	CCNI2	HSPA4, AFF4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT
P21	unified_locus_009106	11	chr11:61.3-62.4Mb	11q12.3	61825890.5	1447490044	B	2	6	MUS81	MUS81	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_ATOPIC
P21	unified_locus_009116	11	chr11:117.8-119.4Mb	11q23.3	118564462	1504228615.5	B	2	4	ACER3	ACER3	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_ATOPIC
P21	unified_locus_009218	19	chr19:31.6-33.9Mb	19q13.11	32771957.5	2094992812	B	3	8	ADCK4	ADCK4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_ATOPIC
P21	unified_locus_009331	5	chr5:35.1-36.6Mb	5p13.2	35861950.5	770968680	B	3	13	IL7R	UGT3A1, IL7R	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_ATOPIC
P22	unified_locus_009497	11	chr11:61.3-62.4Mb	11q12.3	61826917.5	1447491071	A	4	6	MUS81	MUS81	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA
P22	unified_locus_009622	19	chr19:31.6-33.9Mb	19q13.11	32761657.5	2094982512	B	3	8	ADCK4	ADCK4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA
P22	unified_locus_009740	5	chr5:35-36.6Mb	5p13.2	35802115.5	770908845	A	5	13	IL7R	UGT3A1, IL7R	SPEF2, IL7R	2	Not available	NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA
P22	unified_locus_009781	6	chr6:89.1-91.1Mb	6q15	90084353.5	967570309.5	B	4	6	RRAGD	RRAGD, ANKRD6	No Gene-A gene assigned	0	22.1179538684311	NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA
P30	unified_locus_009934	16	chr16:30.1-32.3Mb	16p11.2	31176326.5	1951584315.5	A	4	1	BCKDK	BCL7C, FBXL19	KAT8, RNF40, PRR14, ZNF646, SETD1A, STX4, ZNF668, STX1B, SRCAP, BCL7C, BCKDK, HSD3B7, PRSS53, VKORC1, CTF1, FBXL19, FBRS, ORAI3, PRSS8, ZNF764	20	Not available	NASAL_POLYPS_GCST90018883__L12_PSORIASIS
P30	unified_locus_010039	5	chr5:35.3-36.5Mb	5p13.2	35915264.5	771021994	B	2	13	UGT3A1	UGT3A1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_PSORIASIS
P30	unified_locus_010053	6	chr6:0-1.4Mb	6p25.3	690340	878176296	B	3	1	IRF4	IRF4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__L12_PSORIASIS
P23	unified_locus_010118	1	chr1:166.9-168.2Mb	1q24.2	167553560	167553560	A	5	1	CD247	CD247	CD247	1	Not available	NASAL_POLYPS_GCST90018883__M13_RHEUMA
P23	unified_locus_010161	13	chr13:39.1-41Mb	13q13.3	40071111.5	1667836645.5	A	5	1	VWA8	VWA8	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__M13_RHEUMA
P23	unified_locus_010176	14	chr14:75-76Mb	14q24.3	75508670.5	1802644696.5	A	4	1	Not assigned	chr14:75-76Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__M13_RHEUMA
P23	unified_locus_010227	2	chr2:110.3-112Mb	2q13	111171122.5	284335793	A	4	3	MAP4K4	MAP4K4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__M13_RHEUMA
P18	unified_locus_010383	10	chr10:7.6-10.1Mb	10p14	8817328	1331786284.5	B	4	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	20.586461700558	NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE
P18	unified_locus_010486	5	chr5:109.6-111.8Mb	5q22.1	110686606	845793335.5	A	6	5	NREP	NREP	NREP	1	35.7479904176557	NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE
P18	unified_locus_010487	5	chr5:129.2-133.2Mb	5q31.1	131207255	866313984.5	A	5	5	KIF3A	HSPA4, AFF4	SLC22A5, RAD50, IL13, P4HA2, CCNI2, ACSL6, PDLIM4, GDF9, CDC42SE2, SHROOM1, RAPGEF6, SOWAHA, HINT1, AFF4, KIF3A, HSPA4	16	Not available	NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE
P18	unified_locus_010494	6	chr6:44.3-45.8Mb	6p21.1	45047217.5	922533173.5	B	2	1	IRF4	IRF4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE
