trait_id	trait_label	phenotype_code_or_accession	disease_group	phenotype_module	source_database	consortium_or_biobank	ancestry	sample_size	case_count	control_count	genome_build	effect_scale	ldsc_h2	ldsc_h2_se	ldsc_h2_z	ldsc_mean_chi2	ldsc_intercept	ldsc_power_class	trait_level_h2_qc_decision	appears_in_final_31_pairs	n_final_downstream_pairs	external_metadata_source	notes
T1D	Type 1 diabetes, definitions combined	T1D	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	408210	4721	403489	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0062	0.0016	3.8749999999999996	1.129	1.0592	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
M13_ANKYLOSPON	Ankylosing spondylitis	M13_ANKYLOSPON	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	357062	3838	353224	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0065	0.0016	4.0625	1.1176	1.062	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
J10_INFLUENZA	All influenza	J10_INFLUENZA	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	427096	11558	415538	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0051	0.0012	4.250000000000001	1.0656	1.0142	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
K11_CD_STRICT2	Crohn disease (strict definition, require KELA, min 2 HDR)	K11_CD_STRICT2	non-nasal comparator trait	M4_gi_mucosal_immune_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500111	2489	497622	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.005	0.0011	4.545454545454545	1.114	1.0499	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	ASTHMA_EOSINOPHIL_SUGG	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	444813	3565	441248	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0078	0.0017	4.588235294117647	1.1637	1.0731	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
J10_PNEUMOBACT	Bacterial pneumoniae	J10_PNEUMOBACT	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	437120	21582	415538	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0047	0.001	4.7	1.0977	1.0479	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
G6_MS	MS-disease / Multiple Sclerosis	G6_MS	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	498857	2926	495931	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0049	0.001	4.8999999999999995	1.1128	1.048	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
J10_EMPHYSEMA	Emphysema	J10_EMPHYSEMA	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	411781	2711	409070	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0054	0.0011	4.909090909090909	1.0766	1.023	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_NONSUPPNAS	Nonsuppurative otitis media	H8_NONSUPPNAS	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	477297	12143	465154	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0056	0.0011	5.090909090909091	1.1126	1.0455	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	ASTHMA_CHILD_EXMORE	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	268241	8402	259839	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0207	0.004	5.175	1.251	1.116	adequate_ge4	comparator_adequate_h2_but_not_carried_forward_in_current_formal_pair_design	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
CHRONNAS	Crohn's disease NAS	CHRONNAS	non-nasal comparator trait	M4_gi_mucosal_immune_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	479179	2602	476577	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0057	0.0011	5.181818181818182	1.1177	1.0515	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
RHEUMA_SEROPOS_WIDE	Seropositive rheumatoid arthritis, wide	RHEUMA_SEROPOS_WIDE	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500343	11918	488425	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0084	0.0016	5.249999999999999	1.2421	1.1216	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
D3_SARCOIDOSIS	Sarcoidosis	D3_SARCOIDOSIS	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	497722	5411	492311	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0074	0.0014	5.285714285714286	1.1415	1.0514	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_SUP_ACUTE	Acute suppurative otitis media	H8_SUP_ACUTE	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	479249	14095	465154	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0054	0.0009	6.000000000000001	1.0969	1.0332	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
ULCERNAS	Ulcerative colitis, NAS	ULCERNAS	non-nasal comparator trait	M4_gi_mucosal_immune_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	482657	6080	476577	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0093	0.0015	6.199999999999999	1.1804	1.0703	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
NONALLERG_ASTHMA_EXMORE	Non-allergic asthma (mode) (more control exclusions)	NONALLERG_ASTHMA_EXMORE	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	269597	9758	259839	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0121	0.0019	6.368421052631579	1.1423	1.0651	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
L12_ATOPIC	Atopic dermatitis	L12_ATOPIC	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	464119	31245	432874	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0181	0.0028	6.464285714285715	1.3641	1.1605	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
L12_PSORI_VULG	Psoriasis vulgaris	L12_PSORI_VULG	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	490093	7912	482181	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0093	0.0014	6.642857142857142	1.2005	1.0891	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
M13_RHEUMA	Rheumatoid arthritis	M13_RHEUMA	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	331429	16314	315115	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0165	0.0024	6.875000000000001	1.2697	1.1192	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
J10_PNEUMONIA	All pneumoniae	J10_PNEUMONIA	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500348	78791	421557	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0091	0.0012	7.583333333333335	1.1795	1.0721	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	K11_UC_STRICT2	non-nasal comparator trait	M4_gi_mucosal_immune_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	499380	7220	492160	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0137	0.0018	7.611111111111112	1.2755	1.1101	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_MED_SUPP	Suppurative and unspecified otitis media	H8_MED_SUPP	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	485626	20472	465154	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0077	0.001	7.7	1.1292	1.0382	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
L12_PSORIASIS	Psoriasis	L12_PSORIASIS	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	494941	12760	482181	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0124	0.0016	7.749999999999999	1.2585	1.1082	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
ALLERG_ASTHMA	Allergic asthma (mode)	ALLERG_ASTHMA	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	283740	13450	270290	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0259	0.0033	7.848484848484849	1.307	1.1237	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
L12_DERMATITISECZEMA	Dermatitis and eczema	L12_DERMATITISECZEMA	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500348	67474	432874	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0182	0.0023	7.91304347826087	1.3659	1.1471	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
K11_IBD_STRICT	Inflammatory bowel disease, strict (require KELA)	K11_IBD_STRICT	non-nasal comparator trait	M4_gi_mucosal_immune_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500348	10960	489388	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0177	0.0022	8.045454545454545	1.3651	1.151	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis	H7_ALLERGICCONJUNCTIVITIS	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500348	29791	470557	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0144	0.0017	8.470588235294118	1.3061	1.1327	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	441659	70570	371089	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0203	0.0022	9.227272727272727	1.3725	1.1562	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_MIDDLEMASTOID	Diseases of middle ear and mastoid	H8_MIDDLEMASTOID	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500348	35194	465154	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0112	0.0012	9.333333333333334	1.2044	1.0679	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
J10_CHRONTONSADEN	Chronic diseases of tonsils and adenoids	J10_CHRONTONSADEN	non-nasal comparator trait	M0_sinonasal_anchor	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	431220	59700	371520	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.03	0.0029	10.344827586206897	1.5491	1.245	adequate_ge4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	2	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
